[autodl] run_id=20260915-023649-ttie-t035a-oracle
[autodl] started_at=2026-09-15T02:36:53+08:00
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
REFERENCE_ORACLE_ONLY 1/100 winner=T026A_selected step=500 seconds=13.26
REFERENCE_ORACLE_ONLY 2/100 winner=T026A_selected step=500 seconds=11.47
REFERENCE_ORACLE_ONLY 3/100 winner=T026A_selected step=500 seconds=12.22
REFERENCE_ORACLE_ONLY 4/100 winner=identity step=500 seconds=12.41
REFERENCE_ORACLE_ONLY 5/100 winner=T026A_selected step=500 seconds=12.29
REFERENCE_ORACLE_ONLY 6/100 winner=T026A_selected step=500 seconds=12.38
REFERENCE_ORACLE_ONLY 7/100 winner=T026A_selected step=500 seconds=12.23
REFERENCE_ORACLE_ONLY 8/100 winner=T026A_selected step=500 seconds=12.27
REFERENCE_ORACLE_ONLY 9/100 winner=T026A_selected step=500 seconds=11.91
REFERENCE_ORACLE_ONLY 10/100 winner=T026A_selected step=500 seconds=12.26
REFERENCE_ORACLE_ONLY 11/100 winner=T026A_selected step=500 seconds=12.26
REFERENCE_ORACLE_ONLY 12/100 winner=T026A_selected step=500 seconds=12.38
REFERENCE_ORACLE_ONLY 13/100 winner=T026A_selected step=443 seconds=12.42
REFERENCE_ORACLE_ONLY 14/100 winner=T026A_selected step=500 seconds=11.70
REFERENCE_ORACLE_ONLY 15/100 winner=T026A_selected step=500 seconds=11.84
REFERENCE_ORACLE_ONLY 16/100 winner=T026A_selected step=500 seconds=12.39
REFERENCE_ORACLE_ONLY 17/100 winner=T026A_selected step=500 seconds=12.16
REFERENCE_ORACLE_ONLY 18/100 winner=identity step=500 seconds=12.33
REFERENCE_ORACLE_ONLY 19/100 winner=T026A_selected step=499 seconds=12.20
REFERENCE_ORACLE_ONLY 20/100 winner=T026A_selected step=500 seconds=12.28
REFERENCE_ORACLE_ONLY 21/100 winner=T026A_selected step=500 seconds=12.29
REFERENCE_ORACLE_ONLY 22/100 winner=T026A_selected step=500 seconds=12.19
REFERENCE_ORACLE_ONLY 23/100 winner=T026A_selected step=500 seconds=12.29
REFERENCE_ORACLE_ONLY 24/100 winner=T026A_selected step=500 seconds=11.79
REFERENCE_ORACLE_ONLY 25/100 winner=T026A_selected step=500 seconds=12.27
REFERENCE_ORACLE_ONLY 26/100 winner=T026A_selected step=500 seconds=12.31
REFERENCE_ORACLE_ONLY 27/100 winner=T026A_selected step=484 seconds=12.11
