[autodl] run_id=20260916-205307-ttie-t055a-oracle
[autodl] started_at=2026-09-16T20:53:13+08:00
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
1/100 best_step=998 seconds=3.41
2/100 best_step=1000 seconds=2.04
3/100 best_step=997 seconds=2.51
4/100 best_step=1000 seconds=2.09
5/100 best_step=1000 seconds=1.61
6/100 best_step=986 seconds=2.50
7/100 best_step=997 seconds=2.56
8/100 best_step=1000 seconds=2.61
9/100 best_step=1000 seconds=2.63
10/100 best_step=1000 seconds=2.20
11/100 best_step=1000 seconds=2.65
12/100 best_step=1000 seconds=2.65
13/100 best_step=1000 seconds=2.65
14/100 best_step=1000 seconds=2.65
15/100 best_step=1000 seconds=2.64
16/100 best_step=975 seconds=2.53
17/100 best_step=1000 seconds=2.64
18/100 best_step=1000 seconds=2.62
19/100 best_step=1000 seconds=2.49
20/100 best_step=1000 seconds=2.64
21/100 best_step=1000 seconds=2.63
22/100 best_step=973 seconds=2.65
23/100 best_step=1000 seconds=2.62
24/100 best_step=1000 seconds=2.65
25/100 best_step=1000 seconds=2.63
26/100 best_step=1000 seconds=2.56
27/100 best_step=1000 seconds=2.49
28/100 best_step=1000 seconds=2.63
29/100 best_step=1000 seconds=2.64
30/100 best_step=1000 seconds=2.63
31/100 best_step=1000 seconds=2.64
32/100 best_step=1000 seconds=2.64
33/100 best_step=1000 seconds=2.62
34/100 best_step=1000 seconds=2.64
35/100 best_step=972 seconds=2.64
36/100 best_step=1000 seconds=2.64
37/100 best_step=1000 seconds=2.66
38/100 best_step=1000 seconds=2.57
39/100 best_step=1000 seconds=2.63
40/100 best_step=1000 seconds=2.43
41/100 best_step=1000 seconds=2.65
42/100 best_step=1000 seconds=2.64
43/100 best_step=1000 seconds=2.63
44/100 best_step=1000 seconds=2.65
45/100 best_step=1000 seconds=2.64
46/100 best_step=415 seconds=2.56
47/100 best_step=999 seconds=2.63
48/100 best_step=1000 seconds=2.61
49/100 best_step=1000 seconds=2.58
50/100 best_step=1000 seconds=2.64
51/100 best_step=1000 seconds=2.62
52/100 best_step=1000 seconds=2.63
53/100 best_step=1000 seconds=2.65
54/100 best_step=1000 seconds=2.49
55/100 best_step=179 seconds=2.63
56/100 best_step=1000 seconds=2.63
57/100 best_step=1000 seconds=2.56
58/100 best_step=1000 seconds=2.63
59/100 best_step=993 seconds=2.61
60/100 best_step=1000 seconds=2.63
61/100 best_step=1000 seconds=2.52
62/100 best_step=1000 seconds=2.63
63/100 best_step=1000 seconds=2.64
64/100 best_step=997 seconds=2.55
65/100 best_step=1000 seconds=2.65
66/100 best_step=1000 seconds=2.63
67/100 best_step=1000 seconds=2.66
68/100 best_step=1000 seconds=2.57
69/100 best_step=1000 seconds=2.64
70/100 best_step=1000 seconds=2.62
71/100 best_step=1000 seconds=2.60
72/100 best_step=993 seconds=2.60
73/100 best_step=1000 seconds=2.64
74/100 best_step=1000 seconds=2.62
75/100 best_step=1000 seconds=2.58
76/100 best_step=763 seconds=2.61
77/100 best_step=1000 seconds=2.63
78/100 best_step=1000 seconds=2.58
79/100 best_step=996 seconds=2.64
80/100 best_step=1000 seconds=2.63
81/100 best_step=1000 seconds=2.55
82/100 best_step=436 seconds=2.63
83/100 best_step=1000 seconds=2.60
84/100 best_step=1000 seconds=2.61
85/100 best_step=1000 seconds=2.64
86/100 best_step=1000 seconds=2.60
87/100 best_step=1000 seconds=2.64
88/100 best_step=1000 seconds=2.63
89/100 best_step=1000 seconds=2.64
90/100 best_step=1000 seconds=2.64
91/100 best_step=1000 seconds=2.63
92/100 best_step=1000 seconds=2.64
93/100 best_step=1000 seconds=2.63
94/100 best_step=1000 seconds=2.65
95/100 best_step=1000 seconds=2.65
96/100 best_step=997 seconds=2.65
97/100 best_step=1000 seconds=2.64
98/100 best_step=1000 seconds=2.66
99/100 best_step=1000 seconds=2.64
100/100 best_step=1000 seconds=2.64
FROZEN100 selected outputs; no PSNR/SSIM aggregates computed
[autodl] finished_at=2026-09-16T20:57:38+08:00
[autodl] exit_code=0
