All 13 variants: CUDA repeat rows/diagnostics/tensors exact.
{'model': 'identity', 'cpu_mse': 0.07748476415872574, 'cuda_mse': 0.07748476415872574, 'abs_mse_difference': 0.0, 'max_output_abs_difference': 0.0}
{'model': 'global', 'cpu_mse': 0.00988832302391529, 'cuda_mse': 0.00988832302391529, 'abs_mse_difference': 0.0, 'max_output_abs_difference': 1.1920928955078125e-07}
{'model': 'a0_s0', 'cpu_mse': 0.0024597933515906334, 'cuda_mse': 0.002459792885929346, 'abs_mse_difference': 4.656612873077393e-10, 'max_output_abs_difference': 1.7881393432617188e-07}
{'model': 'a0.01_s0', 'cpu_mse': 0.0021905070170760155, 'cuda_mse': 0.0021905070170760155, 'abs_mse_difference': 0.0, 'max_output_abs_difference': 2.384185791015625e-07}
{'model': 'a0.1_s0', 'cpu_mse': 0.003827542532235384, 'cuda_mse': 0.0038275420665740967, 'abs_mse_difference': 4.656612873077393e-10, 'max_output_abs_difference': 2.384185791015625e-07}
{'model': 'a1_s0', 'cpu_mse': 0.013631175272166729, 'cuda_mse': 0.013631178066134453, 'abs_mse_difference': 2.7939677238464355e-09, 'max_output_abs_difference': 2.384185791015625e-07}
{'model': 'a10_s0', 'cpu_mse': 0.04962613061070442, 'cuda_mse': 0.049626123160123825, 'abs_mse_difference': 7.450580596923828e-09, 'max_output_abs_difference': 3.5762786865234375e-07}
{'model': 'a0_s0.01', 'cpu_mse': 0.0032144065480679274, 'cuda_mse': 0.003216496901586652, 'abs_mse_difference': 2.0903535187244415e-06, 'max_output_abs_difference': 0.0035607218742370605}
{'model': 'a0_s0.1', 'cpu_mse': 0.0036831945180892944, 'cuda_mse': 0.003672572784125805, 'abs_mse_difference': 1.0621733963489532e-05, 'max_output_abs_difference': 0.005951285362243652}
{'model': 'a0_s1', 'cpu_mse': 0.02390671893954277, 'cuda_mse': 0.02405797690153122, 'abs_mse_difference': 0.0001512579619884491, 'max_output_abs_difference': 0.008048653602600098}
{'model': 'a0.1_s0.1', 'cpu_mse': 0.005618838593363762, 'cuda_mse': 0.005638509057462215, 'abs_mse_difference': 1.9670464098453522e-05, 'max_output_abs_difference': 0.008213937282562256}
{'model': 'a1_s0.1', 'cpu_mse': 0.016479387879371643, 'cuda_mse': 0.01648067496716976, 'abs_mse_difference': 1.2870877981185913e-06, 'max_output_abs_difference': 0.009450316429138184}
{'model': 'a1_s1', 'cpu_mse': 0.036646075546741486, 'cuda_mse': 0.03679470717906952, 'abs_mse_difference': 0.00014863163232803345, 'max_output_abs_difference': 0.011940419673919678}
CPU/CUDA sensitivity measured, not hidden with relaxed tolerances; full matrix is uniformly CPU.
