seed,family,condition,model,loss_before,loss_after,mse,psnr_db,left_mse,right_mse,top_left_mse,top_right_mse,bottom_left_mse,bottom_right_mse,input_output_drift_mse,identity_drift_mse,parameter_count,input_clipping_fraction,output_clipping_fraction,all_finite,field_variance_exposure_ev,field_variance_gamma,field_variance_wb_r,field_variance_wb_g,field_variance_wb_b,field_variance_contrast,lambda_a,lambda_s,gradient_norm_last_update,gradient_norm_max,correction_grid_tv,prior_before,prior_after,anchor_before,anchor_after,smooth_before,smooth_after,normalized_grid_variance_exposure_ev,normalized_grid_variance_gamma,normalized_grid_variance_wb_r,normalized_grid_variance_wb_g,normalized_grid_variance_wb_b,normalized_grid_variance_contrast
7,midtone,clean,identity,3.8747643316128233e-07,3.8747643316128233e-07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True,0.0,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,0.0,0.0,0.0,0.0,0.0,3.8747643316128233e-07,3.8747643316128233e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,midtone,clean,global,3.874766889566672e-07,1.9080761148870806e-07,0.0005589054781012237,32.52661633634277,0.0005588876083493233,0.000558923464268446,0.0005583686288446188,0.0005584778846241534,0.0005594070535153151,0.0005593684036284685,0.0005589054781012237,0.0005589054781012237,6,0.0,0.0,True,8.001242249717637e-20,5.199358333585974e-16,3.076148855161745e-16,2.728078533233535e-16,3.95471400808529e-16,2.9680599133488673e-16,0.0,0.0,8.251609528997506e-07,0.04292451590299606,-0.0,3.874766889566672e-07,1.9080761148870806e-07,0.0,0.04019923135638237,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,midtone,clean,a0_s0,3.8747643316128233e-07,1.6119643930778693e-07,0.0005297648604027927,32.75916852077454,0.0005401733797043562,0.0005193565739318728,0.0005758324987255037,0.0005020159296691418,0.000504514027852565,0.0005366969853639603,0.0005297648604027927,0.0005297648604027927,96,0.0,0.0,True,6.268306348441709e-05,1.2440706702701475e-05,6.037058026242152e-05,6.082758538428681e-05,5.962881278883132e-05,0.00031922534943270485,0.0,0.0,1.5447589873929246e-07,0.007818436250090599,0.03819136321544647,3.8747643316128233e-07,1.6119643930778693e-07,0.0,0.037389859557151794,0.0,0.03819136321544647,2.5720044946457124e-05,4.6495885467363665e-05,0.0002079783986592515,0.00021206026506260563,0.00020328985838858035,0.002418127810046491
7,midtone,clean,a0.01_s0,3.8747643316128233e-07,3.2714606845729577e-07,6.416495779149045e-08,71.9270208708203,6.59020997773041e-08,6.242780159482209e-08,5.102992517436178e-08,3.878719212480064e-08,8.077430635466953e-08,8.606840395941617e-08,6.416495779149045e-08,6.416495779149045e-08,96,0.0,0.0,True,1.70696912648241e-07,1.1496428150529516e-08,1.211274843864118e-07,1.1906873923763166e-07,1.0649056477093077e-07,1.145211344324528e-08,0.01,0.0,1.8279402524967736e-07,0.0078531289473176,0.0014043820556253195,3.8747643316128233e-07,3.234426912968047e-07,0.0,3.7033703392808093e-07,0.0,0.0014043820556253195,7.904044121118208e-08,5.6259996091587126e-08,7.381279768830413e-07,4.6789461721100365e-07,6.86478051034721e-07,5.447350688379523e-08
7,midtone,clean,a0.1_s0,3.8747643316128233e-07,3.43237019251319e-07,3.791110714246315e-08,74.2123353240708,3.811642557138839e-08,3.770579581896527e-08,2.2939007138234047e-08,2.1557013951678528e-08,5.329384933361325e-08,5.3854549264542584e-08,3.791110714246315e-08,3.791110714246315e-08,96,0.0,0.0,True,1.4955837617050724e-07,2.215261597213212e-09,3.45513698052746e-08,4.31650221136013e-08,2.757488341954e-08,1.2111329704419762e-10,0.1,0.0,1.739139037226778e-07,0.008177622221410275,0.0006501791067421436,3.8747643316128233e-07,3.333653353365662e-07,0.0,9.871683204210058e-08,0.0,0.0006501791067421436,7.002701462157552e-08,9.108232386589557e-09,1.5539303703964786e-07,1.5567072465247016e-07,1.442738902031044e-07,5.712351630013766e-10
7,midtone,clean,a1_s0,3.8747643316128233e-07,3.661136531718512e-07,1.3106434160192748e-08,78.82515449820063,1.26559660529324e-08,1.3556905820166776e-08,4.283939425420158e-09,5.690512061562458e-09,2.102799356862306e-08,2.1423293361522155e-08,1.3106434160192748e-08,1.3106434160192748e-08,96,0.0,0.0,True,7.058920848855423e-08,9.851321835665334e-10,1.6763215546170498e-09,2.0350576626971425e-09,1.3474421855032848e-09,1.11440842405416e-12,1.0,0.0,3.405632185149443e-07,0.012224697507917881,0.0001716951373964548,3.8747643316128233e-07,3.568740112314117e-07,0.0,9.23963838772579e-09,0.0,0.0001716951373964548,2.9152071654907966e-08,3.4057875630450516e-09,5.93959577714275e-09,6.829273255883362e-09,5.597066738271879e-09,5.405278999290557e-12
7,midtone,clean,a10_s0,3.8747643316128233e-07,3.8249473277574e-07,9.172335113660779e-10,90.3752008658983,9.024248015521152e-10,9.320422211800405e-10,1.3804368759195995e-10,2.5748814191928204e-10,1.6668059155122705e-09,1.6065966335077064e-09,9.172335113660779e-10,9.172335113660779e-10,96,0.0,0.0,True,5.092958521884797e-09,7.129476305408118e-11,3.78423687817576e-11,3.432409060578601e-11,3.519196045942693e-11,1.3088664461540108e-13,10.0,0.0,1.6257346260317718e-06,0.06348422169685364,2.8114616725360975e-05,3.8747643316128233e-07,3.783516149269417e-07,0.0,4.143122789290743e-10,0.0,2.8114616725360975e-05,1.8258969077663935e-09,2.1306263940456224e-10,1.1697162595755073e-10,1.1446612570068549e-10,1.2223573364929524e-10,4.699848515168498e-13
7,midtone,clean,a0_s0.01,3.8747643316128233e-07,8.337285544257611e-05,1.0935746104223654e-05,49.611515813603745,1.0514872883504722e-05,1.135661659645848e-05,1.0504288184165489e-05,1.2577535926538985e-05,1.0525462130317464e-05,1.0135696356883273e-05,1.0935746104223654e-05,1.0935746104223654e-05,96,0.0,0.0,True,9.753274151173542e-06,2.6585159046507654e-06,2.0855550794897034e-06,4.579754949235798e-06,3.4521548939214587e-06,4.021825889792504e-06,0.0,0.01,0.0033602523617446423,0.009082566015422344,0.008149158209562302,3.8747643316128233e-07,1.8812750113283983e-06,0.0,0.0003669543657451868,0.0,0.008149158209562302,4.765152384540218e-06,1.0891221525137304e-05,9.804053259109816e-06,1.1632630420703978e-05,1.592728219239658e-05,2.1295883125245796e-05
7,midtone,clean,a0_s0.1,3.8747643316128233e-07,0.0008345110109075904,5.13322038386832e-06,52.89610089831718,5.607809271168662e-06,4.658633770304732e-06,6.244066298677353e-06,5.717354270018404e-06,4.971547696186462e-06,3.5999109968543053e-06,5.13322038386832e-06,5.13322038386832e-06,96,0.0,0.0,True,2.3138905425591647e-05,2.1780973997450992e-06,2.933069707616726e-06,2.217849439560785e-06,2.5707260632665253e-06,5.6606355289450725e-06,0.0,0.1,0.030433837324380875,0.03396942839026451,0.008306547068059444,3.8747643316128233e-07,3.856315743178129e-06,0.0,5.4283987992675975e-05,0.0,0.008306547068059444,1.0624203784957816e-05,8.607679760921343e-06,1.294629872977285e-05,1.0947243672671097e-05,9.949325727494269e-06,2.055267532230013e-05
7,midtone,clean,a0_s1,3.8747643316128233e-07,0.008419876918196678,7.95531286712503e-06,50.99342735716449,1.0888461474678479e-05,5.022161985834828e-06,1.511753180238884e-05,6.040393600414973e-06,6.6593925112101715e-06,4.003927642770577e-06,7.95531286712503e-06,7.95531286712503e-06,96,0.0,0.0,True,3.610646079775429e-05,3.6394200675711974e-06,2.762467899576746e-06,3.3305497091258614e-06,2.829909597847565e-06,2.5949725230215084e-06,0.0,1.0,0.2967366576194763,0.34369024634361267,0.008412763476371765,3.8747643316128233e-07,7.113319952622987e-06,0.0,4.0703394915908575e-05,0.0,0.008412763476371765,1.7482131489806713e-05,1.3495381316108104e-05,1.1152914931674991e-05,1.5446822976484084e-05,9.647329200879296e-06,9.727106973102926e-06
