[autodl] run_id=20260913-174415-ttie-t019d-fresh-features
[autodl] started_at=2026-09-13T17:44:20+08:00
FROZEN cohort ca3d7aca2cf7e6224e11e234dff63cf3cac44e47f749aaf67d70f9e76ac5b391 IDs [66561, 66635, 66706, 66771, 66817, 66841, 66886, 66926, 67180, 67213, 67310, 67315, 67406, 67616, 67896, 68078, 68093, 68286, 68387, 68628, 68765, 68833, 69106, 69138, 69213, 69224, 69356, 69795, 70048, 70158, 70254, 70739, 70774, 71226, 71711, 71756, 71877, 71938, 72281, 72795]
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
Prepared 120 degraded-only tensors; no adaptation, direction inference or metrics.
/home/wenchang/asdasdsad/wjq/TTIE/.venv/lib/python3.12/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
/home/wenchang/asdasdsad/wjq/TTIE/.venv/lib/python3.12/site-packages/open_clip/factory.py:129: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(checkpoint_path, map_location=map_location)
Selected 1 /120; canonical step 0
Selected 2 /120; canonical step 0
Selected 3 /120; canonical step 0
Selected 4 /120; canonical step 38
Selected 5 /120; canonical step 23
Selected 6 /120; canonical step 34
Selected 7 /120; canonical step 36
Selected 8 /120; canonical step 38
Selected 9 /120; canonical step 27
Selected 10 /120; canonical step 38
Selected 11 /120; canonical step 40
Selected 12 /120; canonical step 38
Selected 13 /120; canonical step 40
Selected 14 /120; canonical step 33
Selected 15 /120; canonical step 32
Selected 16 /120; canonical step 39
Selected 17 /120; canonical step 32
Selected 18 /120; canonical step 36
Selected 19 /120; canonical step 26
Selected 20 /120; canonical step 12
Selected 21 /120; canonical step 40
Selected 22 /120; canonical step 35
Selected 23 /120; canonical step 26
Selected 24 /120; canonical step 12
Selected 25 /120; canonical step 26
Selected 26 /120; canonical step 12
Selected 27 /120; canonical step 40
Selected 28 /120; canonical step 12
Selected 29 /120; canonical step 13
Selected 30 /120; canonical step 0
Selected 31 /120; canonical step 26
Selected 32 /120; canonical step 38
Selected 33 /120; canonical step 40
Selected 34 /120; canonical step 29
Selected 35 /120; canonical step 39
Selected 36 /120; canonical step 32
Selected 37 /120; canonical step 30
Selected 38 /120; canonical step 25
Selected 39 /120; canonical step 40
Selected 40 /120; canonical step 40
Selected 41 /120; canonical step 12
Selected 42 /120; canonical step 28
Selected 43 /120; canonical step 0
Selected 44 /120; canonical step 13
Selected 45 /120; canonical step 0
Selected 46 /120; canonical step 36
Selected 47 /120; canonical step 32
Selected 48 /120; canonical step 40
Selected 49 /120; canonical step 34
Selected 50 /120; canonical step 12
Selected 51 /120; canonical step 31
Selected 52 /120; canonical step 32
Selected 53 /120; canonical step 40
Selected 54 /120; canonical step 32
Selected 55 /120; canonical step 40
Selected 56 /120; canonical step 28
Selected 57 /120; canonical step 40
Selected 58 /120; canonical step 12
Selected 59 /120; canonical step 12
Selected 60 /120; canonical step 25
Selected 61 /120; canonical step 30
Selected 62 /120; canonical step 12
Selected 63 /120; canonical step 40
Selected 64 /120; canonical step 37
Selected 65 /120; canonical step 12
Selected 66 /120; canonical step 37
Selected 67 /120; canonical step 12
Selected 68 /120; canonical step 12
Selected 69 /120; canonical step 12
Selected 70 /120; canonical step 40
Selected 71 /120; canonical step 36
Selected 72 /120; canonical step 34
Selected 73 /120; canonical step 40
Selected 74 /120; canonical step 32
Selected 75 /120; canonical step 28
Selected 76 /120; canonical step 33
Selected 77 /120; canonical step 40
Selected 78 /120; canonical step 38
Selected 79 /120; canonical step 36
Selected 80 /120; canonical step 33
Selected 81 /120; canonical step 40
Selected 82 /120; canonical step 33
Selected 83 /120; canonical step 22
Selected 84 /120; canonical step 37
Selected 85 /120; canonical step 40
Selected 86 /120; canonical step 40
Selected 87 /120; canonical step 32
Selected 88 /120; canonical step 39
Selected 89 /120; canonical step 40
Selected 90 /120; canonical step 40
Selected 91 /120; canonical step 40
Selected 92 /120; canonical step 34
Selected 93 /120; canonical step 40
Selected 94 /120; canonical step 12
Selected 95 /120; canonical step 0
Selected 96 /120; canonical step 24
Selected 97 /120; canonical step 32
Selected 98 /120; canonical step 25
Selected 99 /120; canonical step 40
Selected 100 /120; canonical step 40
Selected 101 /120; canonical step 40
Selected 102 /120; canonical step 38
Selected 103 /120; canonical step 40
Selected 104 /120; canonical step 39
Selected 105 /120; canonical step 19
Selected 106 /120; canonical step 40
Selected 107 /120; canonical step 28
Selected 108 /120; canonical step 40
Selected 109 /120; canonical step 31
Selected 110 /120; canonical step 40
Selected 111 /120; canonical step 36
Selected 112 /120; canonical step 36
Selected 113 /120; canonical step 24
Selected 114 /120; canonical step 36
Selected 115 /120; canonical step 13
Selected 116 /120; canonical step 13
Selected 117 /120; canonical step 37
Selected 118 /120; canonical step 0
Selected 119 /120; canonical step 0
Selected 120 /120; canonical step 0
ALL 120 GPU FEATURE ROWS FROZEN 2cbe26e2b9231eaf2fba8d76dd7e699e1531e4f161ce13c878591684a70a9851
GPU features complete. Local immutable CPU inference must freeze all decisions before separate evaluation.
[autodl] finished_at=2026-09-13T17:48:37+08:00
[autodl] exit_code=0
