index,low,delta_psnr,delta_ssim,selected_step,ev_lower,ev_upper,ev_either,gamma_lower,gamma_upper,gamma_either
0,Train/Low/low00653.png,0.39219013435509886,0.03698613720418448,40,0.0,0.0,0.0,0.75,0.0,0.75
1,Train/Low/low00651.png,0.08491108376425949,0.003939386967642178,40,0.5,0.5,0.5,0.5,0.5,0.5
2,Train/Low/low00443.png,-0.017600207521773825,-0.0015370519357513351,40,0.25,0.0,0.25,0.25,0.25,0.5
3,Train/Low/low00327.png,-0.0008788790148805958,-7.243702032089239e-07,37,0.0,0.0,0.0,0.0,0.75,0.75
4,Train/Low/low00601.png,1.3317228319555703,0.05081381866609119,40,0.0,0.0,0.0,0.75,0.0,0.75
5,Train/Low/low00509.png,1.1719035365995474,0.0869754694540687,40,0.0,0.0,0.0,0.75,0.0,0.75
6,Train/Low/low00001.png,2.8286421083953766,0.13175994334379837,40,0.0,0.0,0.0,1.0,0.0,1.0
7,Train/Low/low00608.png,2.0281938785619023,0.12198420199272736,40,0.0,0.0,0.0,1.0,0.0,1.0
8,Train/Low/low00351.png,0.2753670341002845,-0.004521983637000043,40,0.25,0.0,0.25,0.75,0.0,0.75
9,Train/Low/low00261.png,0.15264198290770015,0.012322605724817845,40,0.0,0.0,0.0,0.5,0.0,0.5
10,Train/Low/low00177.png,0.6387474192937255,0.05030946348118584,40,0.0,0.0,0.0,1.0,0.0,1.0
11,Train/Low/low00542.png,1.1033680861419422,0.08726077224407125,40,0.0,0.0,0.0,1.0,0.0,1.0
12,Train/Low/low00592.png,1.0939471586789473,0.0507322522997784,40,0.25,0.25,0.25,1.0,0.25,1.0
13,Train/Low/low00184.png,1.0564050960673423,0.06510897444988936,40,0.0,0.0,0.0,0.5,0.0,0.5
14,Train/Low/low00080.png,1.8766181724941458,0.11094844493532652,40,0.0,0.0,0.0,1.0,0.0,1.0
15,Train/Low/low00501.png,2.0170650223618605,0.144738280550959,40,0.0,0.0,0.0,0.75,0.0,0.75
16,Train/Low/low00133.png,0.3239452281294497,0.017834707842853126,40,0.0,0.0,0.0,0.75,0.0,0.75
17,Train/Low/low00455.png,1.995014997646649e-08,-3.083212157806159e-10,35,0.25,0.0,0.25,0.0,0.75,0.75
18,Train/Low/low00206.png,4.515876264397775,0.11008309814781436,26,0.0,0.0,0.0,1.0,0.0,1.0
19,Train/Low/low00314.png,-0.11645011952854034,-0.014051424438006693,40,0.0,0.0,0.0,0.75,0.25,1.0
20,Train/Low/low00097.png,1.0920896768913657,0.10736603839806716,40,0.0,0.0,0.0,1.0,0.0,1.0
21,Train/Low/low00520.png,0.687885652282727,0.05485721948409103,40,0.0,0.0,0.0,0.75,0.0,0.75
22,Train/Low/low00424.png,0.0,0.0,35,0.25,0.25,0.5,0.25,0.75,1.0
23,Train/Low/low00535.png,1.514226149937775,0.09514081377847167,40,0.0,0.0,0.0,1.0,0.0,1.0
24,Train/Low/low00336.png,-3.026389450155875e-08,-1.0202790667879214e-08,33,0.25,0.0,0.25,0.25,0.25,0.5
25,Train/Low/low00554.png,0.4766364929007745,0.036322190059220244,40,0.0,0.0,0.0,0.75,0.0,0.75
26,Train/Low/low00564.png,3.0300385406251262,0.15355124862625147,40,0.0,0.0,0.0,1.0,0.0,1.0
27,Train/Low/low00440.png,6.548680175910704e-08,1.2086479705963882e-08,35,0.25,0.0,0.25,0.0,0.75,0.75
28,Train/Low/low00584.png,1.4434348335081602,0.08445547309757562,40,0.0,0.0,0.0,0.75,0.0,0.75
29,Train/Low/low00529.png,0.06777521297687983,0.007934291909063418,40,0.25,0.0,0.25,1.0,0.0,1.0
30,Train/Low/low00213.png,1.0776758243592397,0.08099782734700739,40,0.0,0.0,0.0,1.0,0.0,1.0
31,Train/Low/low00019.png,0.44982042827626767,0.04382829100940547,40,0.0,0.0,0.0,0.75,0.0,0.75
32,Train/Low/low00004.png,0.9784048424616207,0.07532276925504075,40,0.0,0.0,0.0,1.0,0.0,1.0
33,Train/Low/low00449.png,0.02423814946074465,-0.012851603683112237,40,0.5,0.0,0.5,0.5,0.25,0.75
34,Train/Low/low00040.png,3.312193907001669,0.17078321044373257,40,0.0,0.0,0.0,1.0,0.0,1.0
35,Train/Low/low00465.png,1.3370382312416496e-07,-4.2115238352291584e-08,34,0.25,0.0,0.25,0.25,0.25,0.5
36,Train/Low/low00293.png,-0.002316036640992891,3.233034584605721e-05,40,0.25,0.25,0.5,0.25,0.75,1.0
