index,low,delta_psnr,delta_ssim,selected_step,ev_lower,ev_upper,ev_either,gamma_lower,gamma_upper,gamma_either
0,Train/Low/low00653.png,-0.05681188616687116,-0.004782295281887283,80,0.0,0.0,0.0,0.75,0.0,0.75
1,Train/Low/low00651.png,0.19152126422726568,0.012428888776462421,80,0.5,0.5,0.5,0.5,0.75,0.75
2,Train/Low/low00443.png,-0.16835751367390372,-0.0068193801527933195,80,0.0,0.25,0.25,0.25,0.25,0.5
3,Train/Low/low00327.png,0.016362476864369313,0.0007224476022662796,75,0.0,0.0,0.0,0.25,0.75,1.0
4,Train/Low/low00601.png,0.029638992944338582,-0.009941099931633779,80,0.0,0.0,0.0,0.75,0.0,0.75
5,Train/Low/low00509.png,0.22806806497183452,0.01147885249053271,80,0.0,0.0,0.0,0.75,0.0,0.75
6,Train/Low/low00001.png,-0.11845903653306955,-0.00419822561608707,80,0.0,0.0,0.0,1.0,0.0,1.0
7,Train/Low/low00608.png,0.19529143080895395,-0.0039105153413917515,80,0.0,0.0,0.0,1.0,0.0,1.0
8,Train/Low/low00351.png,-0.05238374875314378,0.0010160102053038411,80,0.25,0.0,0.25,0.75,0.0,0.75
9,Train/Low/low00261.png,0.1953877892321172,0.018343240345329255,80,0.0,0.0,0.0,0.5,0.0,0.5
10,Train/Low/low00177.png,0.07280439776977765,0.004308063397403111,80,0.0,0.0,0.0,0.75,0.0,0.75
11,Train/Low/low00542.png,-0.12523939895808134,-0.007929837809982743,80,0.0,0.0,0.0,1.0,0.0,1.0
12,Train/Low/low00592.png,0.18629892245637514,-0.0019419467317812744,80,0.25,0.25,0.25,1.0,0.25,1.0
13,Train/Low/low00184.png,-0.20475902556921,-0.01638466037915437,80,0.0,0.0,0.0,0.75,0.0,0.75
14,Train/Low/low00080.png,0.2733723983322047,-0.001135509451001493,80,0.0,0.0,0.0,0.75,0.0,0.75
15,Train/Low/low00501.png,0.16144948090571276,0.010016665519788748,80,0.0,0.0,0.0,0.75,0.0,0.75
16,Train/Low/low00133.png,0.0441613127321796,-0.00020604681768349176,80,0.0,0.0,0.0,0.5,0.0,0.5
17,Train/Low/low00455.png,0.05473294331172163,-0.0010887000268261782,72,0.25,0.0,0.25,0.25,0.75,1.0
18,Train/Low/low00206.png,0.10792219060321528,0.00147446624477654,75,0.0,0.0,0.0,1.0,0.0,1.0
19,Train/Low/low00314.png,-0.41198328708846965,-0.00582651196942327,80,0.0,0.0,0.0,0.75,0.25,1.0
20,Train/Low/low00097.png,0.021709064182541482,-0.0002099849775495377,80,0.0,0.0,0.0,0.75,0.0,0.75
21,Train/Low/low00520.png,-0.00950884307843225,-0.001333174837587714,80,0.0,0.0,0.0,0.75,0.0,0.75
22,Train/Low/low00424.png,0.0017543111705347059,6.503805287831621e-05,74,0.25,0.25,0.5,0.25,0.75,1.0
23,Train/Low/low00535.png,0.18961852093717368,-0.00018868669000293714,80,0.0,0.0,0.0,0.75,0.0,0.75
24,Train/Low/low00336.png,-0.02966588208385268,-0.001598908502074392,80,0.25,0.0,0.25,0.25,0.25,0.5
25,Train/Low/low00554.png,-0.014541637850093991,-0.0048934113077134245,80,0.0,0.0,0.0,0.75,0.0,0.75
26,Train/Low/low00564.png,-0.04564193776803016,-0.008585069796162248,80,0.0,0.0,0.0,1.0,0.0,1.0
27,Train/Low/low00440.png,0.005636300355270407,-0.0009651717731588572,73,0.25,0.0,0.25,0.0,0.75,0.75
28,Train/Low/low00584.png,0.23589864695983565,-0.007476693320468575,80,0.0,0.0,0.0,0.75,0.0,0.75
29,Train/Low/low00529.png,-0.008295883562329465,-0.0009149105276636815,69,0.25,0.0,0.25,1.0,0.0,1.0
30,Train/Low/low00213.png,-0.00647829533146016,-0.0005326956520014803,80,0.0,0.0,0.0,1.0,0.0,1.0
31,Train/Low/low00019.png,0.07588556217721276,0.0057781808826175285,80,0.0,0.0,0.0,0.75,0.0,0.75
32,Train/Low/low00004.png,-0.025482743596959345,-0.0032372347892334896,80,0.0,0.0,0.0,0.75,0.0,0.75
33,Train/Low/low00449.png,-0.12613144142014932,-0.0011563789822183757,80,0.5,0.0,0.5,0.5,0.25,0.75
34,Train/Low/low00040.png,-0.232124033609578,-0.004621373734908452,80,0.0,0.0,0.0,1.0,0.0,1.0
35,Train/Low/low00465.png,-0.015503014043884988,-0.0017021472954871497,80,0.25,0.0,0.25,0.25,0.5,0.75
36,Train/Low/low00293.png,-0.0016937168226274224,-5.720129517441941e-05,70,0.25,0.25,0.5,0.25,0.75,1.0
37,Train/Low/low00563.png,-0.6351085639771554,-0.020187684152403462,80,0.0,0.0,0.0,1.0,0.0,1.0
38,Train/Low/low00515.png,0.0050557394720911475,0.0018109771197932223,80,0.0,0.0,0.0,0.5,0.0,0.5
39,Train/Low/low00476.png,0.14386640811750162,0.0035405444724405655,80,0.0,0.0,0.0,1.0,0.0,1.0
40,Train/Low/low00219.png,0.1393965901744636,-0.0013589107866603944,80,0.0,0.0,0.0,0.75,0.0,0.75
41,Train/Low/low00084.png,-0.19880922931050726,-0.01599081313306394,80,0.0,0.0,0.0,1.0,0.0,1.0
42,Train/Low/low00100.png,-0.0900302494288141,-0.007797773566865673,80,0.0,0.0,0.0,1.0,0.0,1.0
43,Train/Low/low00561.png,-0.16876623522350265,-0.003479557361030783,80,0.0,0.0,0.0,1.0,0.0,1.0
44,Train/Low/low00510.png,0.1394257042116731,0.009938102280284744,80,0.0,0.0,0.0,0.75,0.0,0.75
45,Train/Low/low00562.png,0.08497712817013081,0.0040084803892100895,80,0.25,0.25,0.25,1.0,0.25,1.0
46,Train/Low/low00247.png,0.13812826292389424,-0.004565778745971416,80,0.0,0.0,0.0,1.0,0.0,1.0
47,Train/Low/low00326.png,-0.0041391029250217315,0.00016433134245846803,68,0.0,0.25,0.25,0.25,0.75,1.0
48,Train/Low/low00385.png,0.05958593576417037,0.0008065917451955534,76,0.25,0.25,0.5,0.0,0.75,0.75
49,Train/Low/low00295.png,-0.6386199029552682,-0.007913314489178397,80,0.0,0.0,0.0,0.75,0.0,0.75
50,Train/Low/low00331.png,0.0013518786662576332,2.8061351480646035e-05,69,0.25,0.0,0.25,0.25,0.75,1.0
51,Train/Low/low00124.png,0.1642602684900769,0.003219036457177693,80,0.0,0.0,0.0,1.0,0.0,1.0
52,Train/Low/low00196.png,0.06936523997325494,0.0033456754860799465,61,0.0,0.0,0.0,1.0,0.0,1.0
53,Train/Low/low00627.png,-0.09847223938846206,-0.011472052330657068,80,0.0,0.0,0.0,0.75,0.0,0.75
54,Train/Low/low00057.png,0.1919425907123795,0.00171071194650263,80,0.0,0.0,0.0,1.0,0.0,1.0
55,Train/Low/low00165.png,0.2212625753259161,0.013108755327251226,80,0.0,0.0,0.0,0.5,0.0,0.5
56,Train/Low/low00364.png,0.0859157931621688,0.0018661387452925116,73,0.25,0.0,0.25,0.0,0.75,0.75
57,Train/Low/low00406.png,0.024990805854366194,0.000617427534225154,79,0.0,0.25,0.25,0.25,0.5,0.75
58,Train/Low/low00586.png,-0.04146454105472408,-0.0034931060486411702,80,0.25,0.0,0.25,1.0,0.0,1.0
59,Train/Low/low00643.png,0.222814056037123,-0.0010849849912514253,79,0.0,0.0,0.0,0.5,0.0,0.5
60,Train/Low/low00505.png,0.17838809083197305,0.008431073518339993,80,0.0,0.0,0.0,1.0,0.0,1.0
61,Train/Low/low00119.png,-0.3163432905951957,-0.01667118497539699,80,0.0,0.0,0.0,1.0,0.0,1.0
62,Train/Low/low00299.png,-0.6507646748480749,-0.002668877342693582,80,0.25,0.0,0.25,1.0,0.0,1.0
63,Train/Low/low00683.png,0.07777192653304077,0.002982340769388192,80,0.0,0.0,0.0,1.0,0.0,1.0
64,Train/Low/low00110.png,-0.9864260224470645,-0.03388754833057017,80,0.0,0.0,0.0,1.0,0.0,1.0
65,Train/Low/low00214.png,-0.018030179702535065,-0.0006494207701237265,80,0.25,0.0,0.25,0.5,0.0,0.5
66,Train/Low/low00417.png,0.01724803692524368,0.0006799701292815458,80,0.25,0.5,0.5,0.25,0.75,0.75
67,Train/Low/low00354.png,-0.11536024872822814,-0.0022578886176378016,80,0.25,0.0,0.25,0.5,0.25,0.75
