index,low,delta_psnr,delta_ssim,selected_step,selected_ev_active_lower_count,selected_ev_active_lower_denominator,selected_ev_active_upper_count,selected_ev_active_upper_denominator,selected_ev_active_either_count,selected_ev_active_either_denominator,selected_ev_inactive_lower_count,selected_ev_inactive_lower_denominator,selected_ev_inactive_upper_count,selected_ev_inactive_upper_denominator,selected_ev_inactive_either_count,selected_ev_inactive_either_denominator,selected_gamma_active_lower_count,selected_gamma_active_lower_denominator,selected_gamma_active_upper_count,selected_gamma_active_upper_denominator,selected_gamma_active_either_count,selected_gamma_active_either_denominator,selected_gamma_inactive_lower_count,selected_gamma_inactive_lower_denominator,selected_gamma_inactive_upper_count,selected_gamma_inactive_upper_denominator,selected_gamma_inactive_either_count,selected_gamma_inactive_either_denominator,final_ev_active_lower_count,final_ev_active_lower_denominator,final_ev_active_upper_count,final_ev_active_upper_denominator,final_ev_active_either_count,final_ev_active_either_denominator,final_ev_inactive_lower_count,final_ev_inactive_lower_denominator,final_ev_inactive_upper_count,final_ev_inactive_upper_denominator,final_ev_inactive_either_count,final_ev_inactive_either_denominator,final_gamma_active_lower_count,final_gamma_active_lower_denominator,final_gamma_active_upper_count,final_gamma_active_upper_denominator,final_gamma_active_either_count,final_gamma_active_either_denominator,final_gamma_inactive_lower_count,final_gamma_inactive_lower_denominator,final_gamma_inactive_upper_count,final_gamma_inactive_upper_denominator,final_gamma_inactive_either_count,final_gamma_inactive_either_denominator
0,Train/Low/low00653.png,0.33130668539711117,0.032602134495668456,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
1,Train/Low/low00651.png,0.006859199006269634,0.0019040256556092094,40,0,2,0,2,0,2,2,2,2,2,2,2,0,2,0,2,0,2,2,2,2,2,2,2,0,2,0,2,0,2,2,2,2,2,2,2,0,2,0,2,0,2,2,2,2,2,2,2
2,Train/Low/low00443.png,-0.07484849538001548,-0.003147889670509399,40,1,4,0,4,1,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0,1,4,0,4,1,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0
3,Train/Low/low00327.png,-3.130297088205225e-07,-5.520412432735711e-09,37,0,4,0,4,0,4,0,0,0,0,0,0,0,4,3,4,3,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,3,4,3,4,0,0,0,0,0,0
4,Train/Low/low00601.png,1.8505300842504084,0.06970609802460936,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
5,Train/Low/low00509.png,1.1326083040675883,0.09009854833049208,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
6,Train/Low/low00001.png,1.233492687028754,0.0660974059579037,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
7,Train/Low/low00608.png,1.4060600127500713,0.06911006649260365,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
8,Train/Low/low00351.png,0.6981745646748418,-0.00419404265429002,40,1,4,0,4,1,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,1,4,0,4,1,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
9,Train/Low/low00261.png,0.2201782212402108,0.018421325215640813,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0
10,Train/Low/low00177.png,0.7818274671354519,0.058656664943629644,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
11,Train/Low/low00542.png,1.3792100862842318,0.10044204263035555,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
12,Train/Low/low00592.png,0.7534019126540059,0.040980602394116716,40,0,3,0,3,0,3,1,1,1,1,1,1,0,3,0,3,0,3,1,1,1,1,1,1,0,3,0,3,0,3,1,1,1,1,1,1,0,3,0,3,0,3,1,1,1,1,1,1
13,Train/Low/low00184.png,1.028558732667129,0.0654962005916982,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
14,Train/Low/low00080.png,1.4422023498115628,0.06952771344016173,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
