index,low,delta_psnr,delta_ssim,selected_step,selected_ev_active_lower_count,selected_ev_active_lower_denominator,selected_ev_active_upper_count,selected_ev_active_upper_denominator,selected_ev_active_either_count,selected_ev_active_either_denominator,selected_ev_inactive_lower_count,selected_ev_inactive_lower_denominator,selected_ev_inactive_upper_count,selected_ev_inactive_upper_denominator,selected_ev_inactive_either_count,selected_ev_inactive_either_denominator,selected_gamma_active_lower_count,selected_gamma_active_lower_denominator,selected_gamma_active_upper_count,selected_gamma_active_upper_denominator,selected_gamma_active_either_count,selected_gamma_active_either_denominator,selected_gamma_inactive_lower_count,selected_gamma_inactive_lower_denominator,selected_gamma_inactive_upper_count,selected_gamma_inactive_upper_denominator,selected_gamma_inactive_either_count,selected_gamma_inactive_either_denominator,final_ev_active_lower_count,final_ev_active_lower_denominator,final_ev_active_upper_count,final_ev_active_upper_denominator,final_ev_active_either_count,final_ev_active_either_denominator,final_ev_inactive_lower_count,final_ev_inactive_lower_denominator,final_ev_inactive_upper_count,final_ev_inactive_upper_denominator,final_ev_inactive_either_count,final_ev_inactive_either_denominator,final_gamma_active_lower_count,final_gamma_active_lower_denominator,final_gamma_active_upper_count,final_gamma_active_upper_denominator,final_gamma_active_either_count,final_gamma_active_either_denominator,final_gamma_inactive_lower_count,final_gamma_inactive_lower_denominator,final_gamma_inactive_upper_count,final_gamma_inactive_upper_denominator,final_gamma_inactive_either_count,final_gamma_inactive_either_denominator
0,Train/Low/low00653.png,-0.30316354184626704,-0.029993823804817493,80,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
1,Train/Low/low00651.png,0.18328492365706062,0.010547259527756259,80,0,2,0,2,0,2,2,2,2,2,2,2,0,2,1,2,1,2,2,2,2,2,2,2,0,2,0,2,0,2,2,2,2,2,2,2,0,2,1,2,1,2,2,2,2,2,2,2
2,Train/Low/low00443.png,-0.18774804767413933,-0.0076185894010269845,80,0,4,0,4,0,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0
3,Train/Low/low00327.png,0.12173108973790647,0.0008819104511686993,80,0,4,0,4,0,4,0,0,0,0,0,0,0,4,3,4,3,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,3,4,3,4,0,0,0,0,0,0
4,Train/Low/low00601.png,0.5254204043664981,0.011608787535913434,80,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
5,Train/Low/low00509.png,-0.24747205248534776,-0.013526622167188362,80,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
6,Train/Low/low00001.png,0.07969485502935747,0.0102021261278894,80,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
7,Train/Low/low00608.png,0.6677846393693514,0.011834678220823291,80,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
8,Train/Low/low00351.png,-0.0012774840260814102,-0.00015580199028225605,80,1,4,0,4,1,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,1,4,0,4,1,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
9,Train/Low/low00261.png,0.2760019517614172,0.025875493583871763,80,1,4,0,4,1,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,1,4,0,4,1,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
10,Train/Low/low00177.png,-0.09015351187678888,0.00044707806872656963,80,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
11,Train/Low/low00542.png,0.08635743137141105,0.013011530719564235,80,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
12,Train/Low/low00592.png,0.21932915964428545,0.0028878812938143428,80,0,3,0,3,0,3,1,1,1,1,1,1,0,3,0,3,0,3,1,1,1,1,1,1,0,3,0,3,0,3,1,1,1,1,1,1,0,3,0,3,0,3,1,1,1,1,1,1
13,Train/Low/low00184.png,-0.08355889820763451,0.005652443937313678,80,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
14,Train/Low/low00080.png,0.6789410424374385,0.020529313157763407,80,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
15,Train/Low/low00501.png,0.1704824225928281,0.005228830469702017,80,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
16,Train/Low/low00133.png,-0.03317803438114808,-0.0028594480461623384,80,1,4,0,4,1,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,1,4,0,4,1,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
